Name,Description,Price,Category,Stock,Image URL,Primary Image URL,All Image URLs,Created By,Created At
Coffee Maker,Programmable drip coffee maker with 12-cup capacity and auto-shutoff.,89.99,home,25,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695011/ecommerce/products/product_1758695010871_prx19zcrv.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695011/ecommerce/products/product_1758695010871_prx19zcrv.jpg,admin,2025-09-15T05:56:48.703Z
Smart Home LED Bulbs,WiFi-enabled LED bulbs that can be controlled via smartphone app.,49.99,home,30,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695009/ecommerce/products/product_1758695008348_rvbndkqlf.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695009/ecommerce/products/product_1758695008348_rvbndkqlf.jpg,admin,2025-09-15T05:56:48.694Z
The Psychology of Money,"Timeless lessons on wealth, greed, and happiness by Morgan Housel.",14.99,books,45,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695006/ecommerce/products/product_1758695005713_vmo5rbv9c.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695006/ecommerce/products/product_1758695005713_vmo5rbv9c.jpg,admin,2025-09-15T05:56:48.683Z
Atomic Habits,An Easy & Proven Way to Build Good Habits & Break Bad Ones by James Clear.,16.99,books,34,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695004/ecommerce/products/product_1758695003292_tyv9y2qyk.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695004/ecommerce/products/product_1758695003292_tyv9y2qyk.jpg,admin,2025-09-15T05:56:48.680Z
Sapiens: A Brief History of Humankind,Fascinating exploration of human history by Yuval Noah Harari.,18.99,books,40,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695001/ecommerce/products/product_1758695000561_m7mz4ct1q.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695001/ecommerce/products/product_1758695000561_m7mz4ct1q.jpg,admin,2025-09-15T05:56:48.670Z
The Great Gatsby,Classic American novel by F. Scott Fitzgerald in paperback edition.,12.99,books,50,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694998/ecommerce/products/product_1758694998112_vss2zbz80.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694998/ecommerce/products/product_1758694998112_vss2zbz80.jpg,admin,2025-09-15T05:56:48.667Z
Clean Code,A Handbook of Agile Software Craftsmanship by Robert C. Martin.,44.99,books,29,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694996/ecommerce/products/product_1758694995334_5xu7qp3ix.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694996/ecommerce/products/product_1758694995334_5xu7qp3ix.jpg,admin,2025-09-15T05:56:48.658Z
JavaScript: The Good Parts,Essential guide to JavaScript programming by Douglas Crockford.,39.99,books,25,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694993/ecommerce/products/product_1758694993032_u5xu15sn2.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694993/ecommerce/products/product_1758694993032_u5xu15sn2.jpg,admin,2025-09-15T05:56:48.654Z
Baseball Cap,Adjustable baseball cap with embroidered logo and curved brim.,24.99,clothing,87,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694991/ecommerce/products/product_1758694990204_5u5pns27u.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694991/ecommerce/products/product_1758694990204_5u5pns27u.jpg,admin,2025-09-15T05:56:48.645Z
Winter Coat,Warm winter coat with water-resistant outer shell and insulated lining.,149.99,clothing,34,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694988/ecommerce/products/product_1758694987410_l0gfn9j4q.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694988/ecommerce/products/product_1758694987410_l0gfn9j4q.jpg,admin,2025-09-15T05:56:48.642Z
Summer Dress,Elegant floral summer dress perfect for casual and semi-formal occasions.,69.99,clothing,40,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694985/ecommerce/products/product_1758694984740_xmb8skks1.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694985/ecommerce/products/product_1758694984740_xmb8skks1.jpg,admin,2025-09-15T05:56:48.632Z
Running Sneakers,Lightweight running shoes with breathable mesh upper and cushioned sole.,129.99,clothing,80,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694982/ecommerce/products/product_1758694982059_ykcfo2du4.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694982/ecommerce/products/product_1758694982059_ykcfo2du4.jpg,admin,2025-09-15T05:56:48.623Z
Leather Jacket,Genuine leather jacket with classic biker style and multiple pockets.,199.99,clothing,25,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694980/ecommerce/products/product_1758694979687_4joudkgw3.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694980/ecommerce/products/product_1758694979687_4joudkgw3.jpg,admin,2025-09-15T05:56:48.619Z
Hoodie Sweatshirt,Cozy fleece hoodie with kangaroo pocket and adjustable drawstring hood.,59.99,clothing,50,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694977/ecommerce/products/product_1758694977238_1mmihkvj3.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694977/ecommerce/products/product_1758694977238_1mmihkvj3.jpg,admin,2025-09-15T05:56:48.609Z
Denim Jeans,Classic blue denim jeans with stretch fabric for comfort and style.,79.99,clothing,74,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694975/ecommerce/products/product_1758694974800_n25mh81zu.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694975/ecommerce/products/product_1758694974800_n25mh81zu.jpg,admin,2025-09-15T05:56:48.598Z
Cotton T-Shirt,Comfortable 100% cotton t-shirt available in multiple colors and sizes.,29.99,clothing,100,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694973/ecommerce/products/product_1758694972463_b9wpsrd0l.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694973/ecommerce/products/product_1758694972463_b9wpsrd0l.jpg,admin,2025-09-15T05:56:48.593Z
Noise Cancelling Earbuds,True wireless earbuds with active noise cancellation and 6-hour battery life.,179.99,electronics,45,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694970/ecommerce/products/product_1758694969852_vi046fnlf.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694970/ecommerce/products/product_1758694969852_vi046fnlf.jpg,admin,2025-09-15T05:56:48.582Z
"Tablet Pro 12.9""","Professional tablet with M2 chip, Liquid Retina XDR display, and Apple Pencil support.",1099.99,electronics,18,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694968/ecommerce/products/product_1758694967208_wx6cslx6h.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694968/ecommerce/products/product_1758694967208_wx6cslx6h.jpg,admin,2025-09-15T05:56:48.571Z
Smart Watch Series 9,"Advanced smartwatch with health monitoring, GPS, and cellular connectivity.",399.99,electronics,30,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694965/ecommerce/products/product_1758694964574_txj6tr394.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694965/ecommerce/products/product_1758694964574_txj6tr394.jpg,admin,2025-09-15T05:56:48.560Z
Bluetooth Speaker,Portable waterproof Bluetooth speaker with 360-degree sound and 12-hour battery.,89.99,electronics,60,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694962/ecommerce/products/product_1758694962066_t6lesw4br.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694962/ecommerce/products/product_1758694962066_t6lesw4br.jpg,admin,2025-09-15T05:56:48.548Z
Wireless Gaming Mouse,"High-precision wireless gaming mouse with 25,000 DPI and RGB lighting.",79.99,electronics,39,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694960/ecommerce/products/product_1758694959299_t5vraw2fq.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694960/ecommerce/products/product_1758694959299_t5vraw2fq.jpg,admin,2025-09-15T05:56:48.536Z
Gaming Mechanical Keyboard,RGB backlit mechanical keyboard with Cherry MX switches for gaming.,149.99,electronics,35,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694957/ecommerce/products/product_1758694956749_lad6pciag.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694957/ecommerce/products/product_1758694956749_lad6pciag.jpg,admin,2025-09-15T05:56:48.524Z
Samsung 4K Smart TV,55-inch 4K UHD Smart TV with HDR10+ and built-in streaming apps.,699.99,electronics,20,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694955/ecommerce/products/product_1758694954267_2wua3ou6z.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694955/ecommerce/products/product_1758694954267_2wua3ou6z.jpg,admin,2025-09-15T05:56:48.512Z
MacBook Air M2,"Ultra-thin laptop with M2 chip, 13-inch Retina display, and all-day battery life.",1199.99,electronics,15,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694952/ecommerce/products/product_1758694952037_xp5nvq7wm.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694952/ecommerce/products/product_1758694952037_xp5nvq7wm.jpg,admin,2025-09-15T05:56:48.500Z
iPhone 15 Pro,"Latest iPhone with A17 Pro chip, titanium design, and advanced camera system.",999.99,electronics,25,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694950/ecommerce/products/product_1758694949331_qvw4vzx62.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694950/ecommerce/products/product_1758694949331_qvw4vzx62.jpg,admin,2025-09-15T05:56:48.488Z
Wireless Bluetooth Headphones,High-quality wireless headphones with noise cancellation and 30-hour battery life.,199.99,electronics,50,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694947/ecommerce/products/product_1758694946589_k5teq5ar3.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758694947/ecommerce/products/product_1758694946589_k5teq5ar3.jpg,admin,2025-09-15T05:56:48.459Z
